env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
kind,3,ws,32,slow,0,33554432,32024576,1529856,no,0,0,31,truncated
kind,3,ws,32,slow,0,33554432,31575040,1979392,no,0,0,31,truncated
kind,3,ws,32,slow,0,33554432,29225984,4328448,no,1,266,28,truncated
kind,3,ws,32,slow,0,33554432,30659584,2894848,no,0,0,30,truncated
kind,3,ws,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
kind,3,spdy,32,slow,0,33554432,32707584,846848,no,0,0,31,truncated
kind,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,32,complete
kind,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
kind,3,spdy,32,slow,0,33554432,32679936,874496,no,0,0,32,truncated
kind,3,spdy,32,slow,0,33554432,30692352,2862080,no,0,0,30,truncated
