env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
k3s-docker,3,ws,32,slow,0,33554432,29285376,4269056,no,1,266,28,truncated
k3s-docker,3,ws,32,slow,0,33554432,26888192,6666240,no,1,443,26,truncated
k3s-docker,3,ws,32,slow,0,33554432,28261376,5293056,no,1,266,27,truncated
k3s-docker,3,ws,32,slow,0,33554432,29981696,3572736,no,0,0,28,truncated
k3s-docker,3,ws,32,slow,0,33554432,26825728,6728704,no,1,443,25,truncated
k3s-docker,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-docker,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
