env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
k3s-v1.34.11-k3s1-egress-agent-pod-agent,3,ws,32,slow,0,33554432,27453435,6100997,no,1,269,30,truncated
k3s-v1.34.11-k3s1-egress-agent-pod-agent,3,ws,32,slow,5,33554432,22977536,10576896,no,1,386,82,truncated
k3s-v1.34.11-k3s1-egress-agent-pod-agent,3,spdy,32,slow,0,33554432,29671424,3883008,no,0,0,31,truncated
k3s-v1.34.11-k3s1-egress-agent-pod-agent,3,spdy,32,slow,5,33554432,33554432,0,yes,0,0,37,complete
