env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
k3s-v1.32.13-k3s1-egress-disabled-pod-agent,3,ws,32,slow,0,33554432,31511547,2042885,no,1,269,32,truncated
k3s-v1.32.13-k3s1-egress-disabled-pod-agent,3,ws,32,slow,5,33554432,29968379,3586053,no,1,269,31,truncated
k3s-v1.32.13-k3s1-egress-disabled-pod-agent,3,spdy,32,slow,0,33554432,29932544,3621888,no,0,0,29,truncated
k3s-v1.32.13-k3s1-egress-disabled-pod-agent,3,spdy,32,slow,5,33554432,30818304,2736128,no,0,0,31,truncated
