env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
k3s-v1.36.4-k3s1-egress-disabled-pod-agent,3,ws,32,slow,0,33554432,33172480,381952,no,1,266,37,truncated
k3s-v1.36.4-k3s1-egress-disabled-pod-agent,3,ws,32,slow,5,33554432,29874176,3680256,no,1,266,31,truncated
k3s-v1.36.4-k3s1-egress-disabled-pod-agent,3,spdy,32,slow,0,33554432,29915136,3639296,no,0,0,29,truncated
k3s-v1.36.4-k3s1-egress-disabled-pod-agent,3,spdy,32,slow,5,33554432,33554432,0,yes,0,0,33,complete
