env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
k3s-v1.36.4-k3s1-egress-agent-pod-server,3,ws,32,slow,0,33554432,32518144,1036288,no,1,266,33,truncated
k3s-v1.36.4-k3s1-egress-agent-pod-server,3,ws,32,slow,5,33554432,30705659,2848773,no,1,269,32,truncated
k3s-v1.36.4-k3s1-egress-agent-pod-server,3,spdy,32,slow,0,33554432,29620224,3934208,no,0,0,28,truncated
k3s-v1.36.4-k3s1-egress-agent-pod-server,3,spdy,32,slow,5,33554432,32904192,650240,no,0,0,32,truncated
