env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
k3s-v1.34.11-k3s1-egress-disabled-pod-agent,3,ws,32,slow,0,33554432,29317115,4237317,no,1,269,31,truncated
k3s-v1.34.11-k3s1-egress-disabled-pod-agent,3,ws,32,slow,5,33554432,32563200,991232,no,1,266,35,truncated
k3s-v1.34.11-k3s1-egress-disabled-pod-agent,3,spdy,32,slow,0,33554432,27175936,6378496,no,0,0,34,truncated
k3s-v1.34.11-k3s1-egress-disabled-pod-agent,3,spdy,32,slow,5,33554432,33554432,0,yes,0,0,33,complete
