env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
k3s-v1.36.4-k3s1-egress-agent-pod-agent,3,ws,32,slow,0,33554432,28949504,4604928,no,1,392,31,truncated
k3s-v1.36.4-k3s1-egress-agent-pod-agent,3,ws,32,slow,5,33554432,28834816,4719616,no,1,266,34,truncated
k3s-v1.36.4-k3s1-egress-agent-pod-agent,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,34,complete
k3s-v1.36.4-k3s1-egress-agent-pod-agent,3,spdy,32,slow,5,33554432,33554432,0,yes,0,0,35,complete
