env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
k3s-v1.32.13-k3s1-egress-agent-pod-agent,3,ws,32,slow,0,33554432,27868160,5686272,no,1,266,29,truncated
k3s-v1.32.13-k3s1-egress-agent-pod-agent,3,ws,32,slow,5,33554432,29674491,3879941,no,1,269,31,truncated
k3s-v1.32.13-k3s1-egress-agent-pod-agent,3,spdy,32,slow,0,33554432,33554432,0,yes,0,0,33,complete
k3s-v1.32.13-k3s1-egress-agent-pod-agent,3,spdy,32,slow,5,33554432,30292992,3261440,no,0,0,29,truncated
