env,rung,transport,size_mib,reader,drain,expected_bytes,got_bytes,lost_bytes,sha_match,exit_code,stderr_len,seconds,verdict
k3s-v1.30.14-k3s2-egress-agent-pod-agent,3,ws,32,slow,0,33554432,27195387,6359045,no,1,269,26,truncated
k3s-v1.30.14-k3s2-egress-agent-pod-agent,3,ws,32,slow,5,33554432,30016512,3537920,no,1,266,31,truncated
k3s-v1.30.14-k3s2-egress-agent-pod-agent,3,spdy,32,slow,0,33554432,30473216,3081216,no,0,0,30,truncated
k3s-v1.30.14-k3s2-egress-agent-pod-agent,3,spdy,32,slow,5,33554432,33554432,0,yes,0,0,34,complete
